id,name,date,dd,Close,VIX,VVIX,VIX_VVIX_Ratio,RSI,MACD_Hist,ATR_Pct,Volatility_20d,Vol_Ratio,Dist_MA20,Dist_MA60,Dist_MA200,Mom_20d
1,欧债危机,2011-10-03,-18.7,2335.830078125,44.25,103.89,0.43,32.44,-17.37,3.06,29.34,1.21,-7.15,-9.55,,-5.83
2,欧债余波,2012-06-01,-12.0,2747.47998046875,25.87,111.41,0.23,27.4,-4.14,1.77,18.51,1.08,-4.31,-8.05,-0.36,-9.15
3,财政悬崖,2012-11-15,-10.9,2836.93994140625,17.74,94.54,0.19,27.46,-12.49,1.43,15.36,1.08,-4.39,-7.34,-4.94,-8.52
4,人民币贬值+油价,2016-02-11,-18.2,4266.83984375,29.01,114.19,0.25,28.87,-13.53,2.45,26.06,1.16,-4.55,-11.38,-13.31,-5.73
5,美联储加息,2018-12-24,-23.6,6192.919921875,29.29,107.57,0.27,11.62,-79.02,3.24,29.83,0.65,-11.01,-14.82,-17.27,-10.75
6,贸易摩擦,2019-06-03,-10.2,7333.02001953125,19.41,98.22,0.2,34.92,-44.1,1.54,18.83,1.18,-5.25,-6.28,-2.5,-10.18
7,新冠疫情,2020-03-23,-30.1,6860.669921875,74.08,186.09,0.4,34.3,-118.61,7.88,86.14,0.97,-14.5,-22.95,-18.4,-25.6
8,科技股回调,2020-09-23,-11.8,10632.990234375,27.02,103.4,0.26,26.7,-81.12,3.39,32.67,1.06,-5.34,-2.51,11.78,-7.27
9,利率恐慌,2021-03-08,-10.5,12609.16015625,27.61,118.47,0.23,26.45,-137.92,2.95,25.74,0.83,-6.93,-4.56,8.38,-9.0
10,激进加息熊市,2022-12-28,-36.4,10213.2900390625,21.47,79.25,0.27,30.04,-83.68,2.29,26.88,0.78,-6.36,-6.18,-13.55,-7.01
11,衰退担忧,2024-08-07,-13.1,16195.8095703125,24.77,136.43,0.18,28.25,-185.96,3.02,27.05,1.01,-7.45,-7.0,2.15,-13.15
12,关税冲击,2025-04-08,-24.3,15267.91015625,44.04,142.11,0.31,20.98,-209.79,4.01,36.81,1.3,-11.77,-18.08,-17.1,-12.44
13,增长放缓,2026-03-30,-13.2,20794.640625,30.79,130.39,0.24,23.74,-127.84,1.92,19.71,1.01,-6.02,-8.97,-6.78,-8.59
