id,name,date,dd,Close,VIX,VVIX,VIX_VVIX_Ratio,RSI,MACD_Hist,ATR_Pct,Volatility_20d,Vol_Ratio,Dist_MA20,Dist_MA60,Dist_MA200,Mom_20d
1,欧债危机,2011-07-07,-18.7,2872.659912109375,15.3,80.7,0.19,83.89,13.42,1.35,,,,,,
2,欧债余波,2012-03-26,-12.0,3122.570068359375,14.51,96.08,0.15,91.43,3.41,0.97,13.23,0.97,3.51,8.26,,5.27
3,财政悬崖,2012-09-14,-10.9,3183.949951171875,13.82,93.04,0.15,72.34,4.26,0.98,11.71,1.29,2.97,6.57,9.6,3.97
4,人民币贬值+油价,2015-07-20,-18.2,5218.85986328125,12.25,85.74,0.14,76.57,24.69,1.17,15.6,0.97,3.05,3.32,7.94,1.99
5,美联储加息,2018-08-29,-23.6,8109.68994140625,12.34,91.98,0.13,68.89,22.23,0.89,9.14,0.95,2.9,4.42,10.49,5.22
6,贸易摩擦,2019-05-03,-10.2,8164.0,14.11,89.43,0.16,68.27,-9.4,0.95,9.29,1.01,1.62,5.54,8.43,3.45
7,新冠疫情,2020-02-19,-30.1,9817.1796875,14.66,97.86,0.15,77.96,20.07,1.16,15.46,1.04,3.58,8.03,17.57,4.76
8,科技股回调,2020-09-02,-11.8,12056.4404296875,26.01,119.78,0.22,89.96,53.1,1.21,14.6,1.07,6.41,13.25,29.04,9.62
9,利率恐慌,2021-02-12,-10.5,14095.4697265625,21.6,115.66,0.19,62.78,29.91,1.49,19.34,0.93,3.64,9.21,24.7,7.5
10,激进加息熊市,2021-11-19,-36.4,16057.4404296875,17.36,114.66,0.15,67.76,0.9,0.99,10.7,0.89,2.12,5.71,11.97,6.41
11,衰退担忧,2024-07-10,-13.1,18647.44921875,12.51,82.53,0.15,72.2,45.02,1.05,11.24,0.94,4.18,10.5,20.78,8.46
12,关税冲击,2024-12-16,-24.3,20173.890625,14.37,96.94,0.15,77.62,41.05,1.02,10.93,1.28,3.76,7.42,15.27,8.0
13,增长放缓,2025-10-29,-13.2,23958.470703125,16.34,101.62,0.16,62.84,96.94,1.68,19.74,0.95,4.39,7.75,20.08,5.29
