date,drawdown,RSI,ATR%,Vol_Ratio,MACD_Hist,Volatility,Close_vs_MA20,Close_vs_MA60,Close_vs_MA200,20d_momentum
2011-10-03,-18.7%,32.4,3.06%,1.21,-17.4,29.3%,-7.2%,-9.6%,-,-5.8%
2012-06-01,-12.0%,27.4,1.77%,1.08,-4.1,18.5%,-4.3%,-8.1%,-0.4%,-9.2%
2012-11-15,-10.9%,27.5,1.43%,1.08,-12.5,15.4%,-4.4%,-7.3%,-4.9%,-8.5%
2016-02-11,-18.2%,28.9,2.45%,1.16,-13.5,26.1%,-4.6%,-11.4%,-13.3%,-5.7%
2018-12-24,-23.6%,11.6,3.24%,0.65,-79.0,29.8%,-11.0%,-14.8%,-17.3%,-10.8%
2019-06-03,-10.2%,34.9,1.54%,1.18,-44.1,18.8%,-5.3%,-6.3%,-2.5%,-10.2%
2020-03-23,-30.1%,34.3,7.88%,0.97,-118.6,86.1%,-14.5%,-22.9%,-18.4%,-25.6%
2020-09-23,-11.8%,26.7,3.39%,1.06,-81.1,32.7%,-5.3%,-2.5%,11.8%,-7.3%
2021-03-08,-10.5%,26.5,2.95%,0.83,-137.9,25.7%,-6.9%,-4.6%,8.4%,-9.0%
2022-12-28,-36.4%,30.0,2.29%,0.78,-83.7,26.9%,-6.4%,-6.2%,-13.6%,-7.0%
2024-08-07,-13.1%,28.2,3.02%,1.01,-186.0,27.0%,-7.5%,-7.0%,2.1%,-13.1%
2025-04-08,-24.3%,21.0,4.01%,1.30,-209.8,36.8%,-11.8%,-18.1%,-17.1%,-12.4%
2026-03-30,-13.2%,23.7,1.92%,1.01,-127.8,19.7%,-6.0%,-9.0%,-6.8%,-8.6%
