peak_date,peak_price,trough_date,trough_price,recovery_date,drawdown_pct,fall_days,recover_days,total_days
2011-07-07,2872.659912109375,2011-10-03,2335.830078125,2012-02-03,-18.687552665786477,88,123,211
2012-03-26,3122.570068359375,2012-06-01,2747.47998046875,2012-09-06,-12.012223254535343,67,97,164
2012-09-14,3183.949951171875,2012-11-15,2836.93994140625,2013-02-08,-10.898726898577836,62,85,147
2015-07-20,5218.85986328125,2016-02-11,4266.83984375,2016-08-05,-18.241915753083415,206,176,382
2018-08-29,8109.68994140625,2018-12-24,6192.919921875,2019-04-23,-23.635552448739798,117,120,237
2019-05-03,8164.0,2019-06-03,7333.02001953125,2019-07-03,-10.17858868776029,31,30,61
2020-02-19,9817.1796875,2020-03-23,6860.669921875,2020-06-08,-30.115673337317634,33,77,110
2020-09-02,12056.4404296875,2020-09-23,10632.990234375,2020-11-25,-11.806554377421625,21,63,84
2021-02-12,14095.4697265625,2021-03-08,12609.16015625,2021-04-26,-10.544590560977142,24,49,73
2021-11-19,16057.4404296875,2022-12-28,10213.2900390625,2024-02-29,-36.395279909120205,404,428,832
2024-07-10,18647.44921875,2024-08-07,16195.8095703125,2024-10-29,-13.147319076607955,28,83,111
2024-12-16,20173.890625,2025-04-08,15267.91015625,2025-06-27,-24.31846469252879,113,80,193
2025-10-29,23958.470703125,2026-03-30,20794.640625,2026-04-15,-13.205475914254949,152,16,168
