date,drawdown,RSI,ATR%,Vol_Ratio,MACD_Hist,Volatility,Close_vs_MA20,Close_vs_MA60,Close_vs_MA200,20d_momentum
2011-07-07,-18.7%,83.9,1.35%,nan,13.4,nan%,-,-,-,8.8%
2012-03-26,-12.0%,91.4,0.97%,0.97,3.4,13.2%,3.5%,8.3%,-,5.3%
2012-09-14,-10.9%,72.3,0.98%,1.29,4.3,11.7%,3.0%,6.6%,9.6%,4.0%
2015-07-20,-18.2%,76.6,1.17%,0.97,24.7,15.6%,3.1%,3.3%,7.9%,2.0%
2018-08-29,-23.6%,68.9,0.89%,0.95,22.2,9.1%,2.9%,4.4%,10.5%,5.2%
2019-05-03,-10.2%,68.3,0.95%,1.01,-9.4,9.3%,1.6%,5.5%,8.4%,3.4%
2020-02-19,-30.1%,78.0,1.16%,1.04,20.1,15.5%,3.6%,8.0%,17.6%,4.8%
2020-09-02,-11.8%,90.0,1.21%,1.07,53.1,14.6%,6.4%,13.2%,29.0%,9.6%
2021-02-12,-10.5%,62.8,1.49%,0.93,29.9,19.3%,3.6%,9.2%,24.7%,7.5%
2021-11-19,-36.4%,67.8,0.99%,0.89,0.9,10.7%,2.1%,5.7%,12.0%,6.4%
2024-07-10,-13.1%,72.2,1.05%,0.94,45.0,11.2%,4.2%,10.5%,20.8%,8.5%
2024-12-16,-24.3%,77.6,1.02%,1.28,41.1,10.9%,3.8%,7.4%,15.3%,8.0%
2025-10-29,-13.2%,62.8,1.68%,0.95,96.9,19.7%,4.4%,7.7%,20.1%,5.3%
