date,SP500_PE,Shiller_CAPE,Div_Yield
2011-01-01,16.3,22.98,
2011-01-31,,,1.79
2011-02-01,16.52,23.49,
2011-02-28,,,1.76
2011-03-01,16.04,22.9,
2011-03-31,,,1.8
2011-04-01,16.21,23.14,
2011-04-30,,,1.78
2011-05-01,16.12,23.06,
2011-05-31,,,1.8
2011-06-01,15.35,22.1,
2011-06-30,,,1.89
2011-07-01,15.61,22.61,
2011-07-31,,,1.86
2011-08-01,13.79,20.05,
2011-08-31,,,2.1
2011-09-01,13.5,19.7,
2011-09-30,,,2.15
2011-10-01,13.88,20.16,
2011-10-31,,,2.12
2011-11-01,14.1,20.35,
2011-11-30,,,2.12
2011-12-01,14.3,20.52,
2011-12-31,,,2.13
2012-01-01,14.87,21.21,
2012-01-31,,,2.06
2012-02-01,15.37,21.8,
2012-02-29,,,2.0
2012-03-01,15.69,22.05,
2012-03-31,,,1.97
2012-04-01,15.7,21.78,
2012-04-30,,,2.0
2012-05-01,15.22,20.94,
2012-05-31,,,2.09
2012-06-01,15.05,20.55,
2012-06-30,,,2.14
2012-07-01,15.55,21.0,
2012-07-31,,,2.11
2012-08-01,16.14,21.41,
2012-08-31,,,2.08
2012-09-01,16.69,21.78,
2012-09-30,,,2.05
2012-10-01,16.62,21.58,
2012-10-31,,,2.1
2012-11-01,16.12,20.9,
2012-11-30,,,2.2
2012-12-01,16.44,21.24,
2012-12-31,,,2.2
2013-01-01,17.03,21.9,
2013-01-31,,,2.13
2013-02-01,17.32,22.05,
2013-02-28,,,2.1
2013-03-01,17.68,22.42,
2013-03-31,,,2.07
2013-04-01,17.69,22.6,
2013-04-30,,,2.07
2013-05-01,18.25,23.41,
2013-05-31,,,2.01
2013-06-01,17.8,22.93,
2013-06-30,,,2.06
2013-07-01,18.12,23.49,
2013-07-31,,,2.02
2013-08-01,17.91,23.36,
2013-08-31,,,2.04
2013-09-01,17.88,23.44,
2013-09-30,,,2.04
2013-10-01,17.86,23.83,
2013-10-31,,,2.01
2013-11-01,18.15,24.64,
2013-11-30,,,1.95
2013-12-01,18.04,24.86,
2013-12-31,,,1.94
2014-01-01,18.15,24.86,
2014-01-31,,,1.94
2014-02-01,18.06,24.59,
2014-02-28,,,1.97
2014-03-01,18.48,24.96,
2014-03-31,,,1.94
2014-04-01,18.35,24.79,
2014-04-30,,,1.96
2014-05-01,18.46,24.94,
2014-05-31,,,1.96
2014-06-01,18.88,25.56,
2014-06-30,,,1.92
2014-07-01,18.96,25.82,
2014-07-31,,,1.91
2014-08-01,18.68,25.62,
2014-08-31,,,1.94
2014-09-01,18.81,25.92,
2014-09-30,,,1.93
2014-10-01,18.5,25.16,
2014-10-31,,,2.0
2014-11-01,19.75,26.61,
2014-11-30,,,1.91
2014-12-01,20.08,26.79,
2014-12-31,,,1.92
2015-01-01,20.02,26.49,
2015-01-31,,,1.97
2015-02-01,20.77,27.0,
2015-02-28,,,1.94
2015-03-01,20.96,26.73,
2015-03-31,,,1.96
2015-04-01,21.42,26.79,
2015-04-30,,,1.96
2015-05-01,21.92,26.81,
2015-05-31,,,1.96
2015-06-01,22.12,26.5,
2015-06-30,,,1.99
2015-07-01,22.4,26.38,
2015-07-31,,,2.01
2015-08-01,22.15,25.69,
2015-08-31,,,2.07
2015-09-01,21.45,24.5,
2015-09-30,,,2.19
2015-10-01,22.68,25.49,
2015-10-31,,,2.11
2015-11-01,23.67,26.23,
2015-11-30,,,2.07
2015-12-01,23.74,25.97,
2015-12-31,,,2.11
2016-01-01,22.18,24.21,
2016-01-31,,,2.27
2016-02-01,22.02,24.0,
2016-02-29,,,2.3
2016-03-01,23.39,25.37,
2016-03-31,,,2.17
2016-04-01,23.97,25.92,
2016-04-30,,,2.12
2016-05-01,23.81,25.69,
2016-05-31,,,2.14
2016-06-01,23.97,25.84,
2016-06-30,,,2.13
2016-07-01,24.52,26.69,
2016-07-31,,,2.08
2016-08-01,24.57,26.95,
2016-08-31,,,2.07
2016-09-01,24.22,26.73,
2016-09-30,,,2.09
2016-10-01,23.57,26.53,
2016-10-31,,,2.11
2016-11-01,23.35,26.85,
2016-11-30,,,2.1
2016-12-01,23.76,27.87,
2016-12-31,,,2.03
2017-01-01,23.59,28.06,
2017-01-31,,,2.02
2017-02-01,23.68,28.66,
2017-02-28,,,1.98
2017-03-01,23.6,29.09,
2017-03-31,,,1.96
2017-04-01,23.24,28.9,
2017-04-30,,,1.98
2017-05-01,23.31,29.31,
2017-05-31,,,1.96
2017-06-01,23.4,29.75,
2017-06-30,,,1.94
2017-07-01,23.36,30.0,
2017-07-31,,,1.94
2017-08-01,23.16,29.91,
2017-08-31,,,1.95
2017-09-01,23.28,30.17,
2017-09-30,,,1.93
2017-10-01,23.67,30.92,
2017-10-31,,,1.89
2017-11-01,23.81,31.3,
2017-11-30,,,1.88
2017-12-01,24.25,32.09,
2017-12-31,,,1.84
2018-01-01,24.97,33.31,
2018-01-31,,,1.77
2018-02-01,23.82,32.04,
2018-02-28,,,1.84
2018-03-01,23.41,31.81,
2018-03-31,,,1.85
2018-04-01,22.53,30.97,
2018-04-30,,,1.9
2018-05-01,22.49,31.24,
2018-05-31,,,1.88
2018-06-01,22.49,31.63,
2018-06-30,,,1.85
2018-07-01,22.33,31.89,
2018-07-31,,,1.84
2018-08-01,22.37,32.39,
2018-08-31,,,1.82
2018-09-01,22.25,32.62,
2018-09-30,,,1.8
2018-10-01,21.25,31.04,
2018-10-31,,,1.9
2018-11-01,20.67,30.2,
2018-11-30,,,1.96
2018-12-01,19.39,28.29,
2018-12-31,,,2.09
2019-01-01,19.6,28.38,
2019-01-31,,,2.08
2019-02-01,20.6,29.54,
2019-02-28,,,1.98
2019-03-01,20.86,29.58,
2019-03-31,,,1.96
2019-04-01,21.56,30.13,
2019-04-30,,,1.9
2019-05-01,21.15,29.24,
2019-05-31,,,1.95
2019-06-01,21.37,29.28,
2019-06-30,,,1.94
2019-07-01,22.28,29.99,
2019-07-31,,,1.88
2019-08-01,21.67,28.71,
2019-08-31,,,1.96
2019-09-01,22.44,29.23,
2019-09-30,,,1.92
2019-10-01,22.04,28.84,
2019-10-31,,,1.93
2019-11-01,22.62,29.84,
2019-11-30,,,1.86
2019-12-01,22.78,30.33,
2019-12-31,,,1.83
2020-01-01,24.88,30.99,
2020-01-31,,,1.79
2020-02-01,26.42,30.73,
2020-02-29,,,1.8
2020-03-01,22.8,24.82,
2020-03-31,,,2.25
2020-04-01,24.97,25.93,
2020-04-30,,,2.16
2020-05-01,27.82,27.33,
2020-05-31,,,2.04
2020-06-01,31.29,28.84,
2020-06-30,,,1.92
2020-07-01,32.44,29.6,
2020-07-31,,,1.85
2020-08-01,34.41,31.16,
2020-08-31,,,1.74
2020-09-01,34.27,30.84,
2020-09-30,,,1.75
2020-10-01,35.3,31.28,
2020-10-31,,,1.72
2020-11-01,37.16,32.47,
2020-11-30,,,1.65
2020-12-01,39.26,33.77,
2020-12-31,,,1.58
2021-01-01,35.96,34.51,
2021-01-31,,,1.53
2021-02-01,33.24,35.1,
2021-02-28,,,1.49
2021-03-01,30.5,35.04,
2021-03-31,,,1.47
2021-04-01,29.92,36.72,
2021-04-30,,,1.39
2021-05-01,28.05,36.55,
2021-05-31,,,1.39
2021-06-01,26.7,36.7,
2021-06-30,,,1.37
2021-07-01,26.56,37.44,
2021-07-31,,,1.34
2021-08-01,26.23,37.97,
2021-08-31,,,1.32
2021-09-01,25.35,37.62,
2021-09-30,,,1.33
2021-10-01,24.39,37.25,
2021-10-31,,,1.34
2021-11-01,24.52,38.58,
2021-11-30,,,1.29
2021-12-01,23.63,38.31,
2021-12-31,,,1.29
2022-01-01,23.11,36.94,
2022-01-31,,,1.33
2022-02-01,22.42,35.29,
2022-02-28,,,1.39
2022-03-01,22.19,34.27,
2022-03-31,,,1.41
2022-04-01,22.4,33.89,
2022-04-30,,,1.43
2022-05-01,20.81,30.67,
2022-05-31,,,1.57
2022-06-01,20.28,29.05,
2022-06-30,,,1.64
2022-07-01,20.53,29.0,
2022-07-31,,,1.65
2022-08-01,22.03,30.7,
2022-08-31,,,1.56
2022-09-01,20.58,28.23,
2022-09-30,,,1.7
2022-10-01,20.44,27.08,
2022-10-31,,,1.77
2022-11-01,22.07,28.38,
2022-11-30,,,1.69
2022-12-01,22.65,28.32,
2022-12-31,,,1.71
2023-01-01,22.82,28.34,
2023-01-31,,,1.7
2023-02-01,23.4,28.92,
2023-02-28,,,1.66
2023-03-01,22.66,27.94,
2023-03-31,,,1.72
2023-04-01,23.27,28.77,
2023-04-30,,,1.66
2023-05-01,23.15,28.76,
2023-05-31,,,1.65
2023-06-01,24.01,29.94,
2023-06-30,,,1.58
2023-07-01,24.76,30.89,
2023-07-31,,,1.53
2023-08-01,24.16,30.09,
2023-08-31,,,1.56
2023-09-01,23.93,29.8,
2023-09-30,,,1.57
