Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,PE,Earnings_10y_avg,PE10_calc
2011-01-01,1282.62,22.96333333333333,78.67,220.22,3.39,1782.94,31.92,109.36,22.98,16.30380068641159,,
2011-02-01,1321.12,23.196666666666665,79.99000000000001,221.31,3.58,1827.45,32.09,110.65,23.49,16.516064508063504,,
2011-03-01,1304.49,23.43,81.31,223.47,3.41,1787.02,32.1,111.39,22.9,16.043414094207353,,
2011-04-01,1331.51,23.73333333333333,82.16333333333334,224.91,3.46,1812.37,32.3,111.84,23.14,16.205647287922428,,
2011-05-01,1338.31,24.036666666666665,83.01666666666667,225.96,3.17,1813.09,32.56,112.47,23.06,16.120979722947197,,
2011-06-01,1287.29,24.34,83.87,225.72,3.0,1745.84,33.01,113.75,22.1,15.348634791939906,,
2011-07-01,1325.19,24.62,84.90666666666667,225.92,3.0,1795.65,33.36,115.05,22.61,15.607608354271358,,
2011-08-01,1185.31,24.9,85.94333333333334,226.54,2.3,1601.69,33.65,116.13,20.05,13.791762013729976,,
2011-09-01,1173.88,25.18,86.98,226.89,1.98,1583.84,33.97,117.36,19.7,13.495976086456658,,
2011-10-01,1207.22,25.596666666666664,86.97,226.42,2.15,1632.2,34.61,117.59,20.16,13.880878463838105,,
2011-11-01,1226.42,26.013333333333332,86.96000000000001,226.23,2.01,1659.55,35.2,117.67,20.35,14.103265869365226,,
2011-12-01,1243.32,26.43,86.95,225.67,1.98,1686.58,35.85,117.95,20.52,14.299252443933295,,
2012-01-01,1300.58,26.736666666666668,87.48,226.66,1.97,1756.53,36.11,118.15,21.21,14.867169638774575,,
2012-02-01,1352.49,27.043333333333337,88.01,227.66,1.97,1818.63,36.36,118.34,21.8,15.367458243381433,,
2012-03-01,1389.24,27.35,88.54,229.39,2.17,1853.96,36.5,118.16,22.05,15.69053535125367,,
2012-04-01,1386.43,27.67333333333333,88.33333333333334,230.09,2.05,1844.64,36.82,117.53,21.78,15.69543396226415,,
2012-05-01,1341.27,27.996666666666663,88.12666666666667,229.81,1.8,1786.65,37.29,117.39,20.94,15.219797261517513,,
2012-06-01,1323.48,28.32,87.92,229.48,1.62,1765.54,37.78,117.29,20.55,15.053230209281164,,
